Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Return on capital employed,Profit after tax,Return on assets,Debt to equity,Return on equity,EPS,Debt,Earnings yield,EVEBITDA,Current ratio,Interest Coverage Ratio,Price to Sales,Price to Free Cash Flow,Net worth,Interest Coverage,Debt Capacity,Debt To Profit,Total Capital Employed,Leverage,Altman Z Score,Market Capt to Cash Flow,Market cap to quarterly profit,Dividend Payout Ratio,Financial leverage,Quick ratio,Sales,OPM,Change in promoter holding,Sales last year,Operating profit last year,Other income last year,EBIDT last year,Depreciation last year,EBIT last year,Interest last year,Profit before tax last year,Extraordinary items last year,Equity capital,Preference capital,Reserves,Secured loan,Unsecured loan,Balance sheet total,Current assets,Current liabilities,Operating profit,Interest,Depreciation,EBIT,Net profit,Cash from operations last year,Free cash flow last year,Cash from investing last year,Cash from financing last year,Market Capitalization
Lotus Eye Hospit,532998,LOTUSEYE,INE947I01017,Healthcare Services,Hospital,124.20,2.99,0.65,1.07,0.08,1.22,0.31,4.80,0.72,66.02,1.40,3.03,5.02,-1123.20,60.62,3.03,0.05,6.49,58.22,1.14,7.85,96.01,-997.08,0.00,1.14,0.90,51.62,5.31,-0.53,49.55,3.56,1.31,4.86,3.01,1.85,0.48,1.38,0.01,20.80,0.00,39.82,0.00,3.43,71.51,10.41,7.42,2.74,0.62,2.07,1.88,0.65,2.70,-2.09,-6.13,-1.60,259.24
Ludlow Jute,526179,,INE983C01015,"Paper, Forest & Jute Products",Jute & Jute Products,255.50,-0.56,17.30,-2.93,0.83,-6.34,16.06,149.83,8.92,9.20,1.25,2.58,0.58,-42.94,180.27,2.58,-0.38,-14.16,237.66,2.15,3.56,-50.12,80.22,0.00,2.15,0.48,478.49,9.30,0.00,300.90,8.15,0.72,8.89,10.57,-1.68,12.43,-14.13,-0.02,10.80,0.00,169.47,88.63,58.32,374.81,168.56,134.84,44.49,14.60,8.20,37.69,17.30,-5.49,-16.92,-11.52,16.83,275.17
Lyka Labs,500259,LYKALABS,INE933A01014,Pharmaceuticals & Biotechnology,Pharmaceuticals,59.00,9.91,-0.66,4.75,0.31,9.31,-0.18,31.66,1.14,22.83,1.41,0.94,1.57,-240.26,101.13,0.94,0.15,3.99,104.92,1.61,3.83,110.94,,0.00,1.61,1.14,133.85,5.13,0.00,138.50,17.93,2.23,20.14,6.77,13.37,2.27,11.12,0.02,35.69,1.08,65.44,23.01,15.16,167.80,60.62,42.98,6.87,2.93,7.83,2.74,-0.35,1.90,-10.43,-11.80,5.29,210.78
M & M,500520,M&M,INE101A01026,Automobiles,Passenger Cars & Utility Vehicles,3102.60,13.93,15975.71,5.51,1.53,18.05,126.47,126709.33,6.70,12.18,1.35,3.43,2.07,-32.90,82844.59,3.43,-0.15,9.00,79196.23,3.31,3.65,121.50,78.47,21.84,3.31,1.10,186333.92,18.91,0.02,159210.82,30518.19,3718.47,34236.66,6073.65,28163.01,9083.39,19079.62,0.00,558.64,4075.27,82285.95,97330.06,27619.25,292929.95,134551.78,99797.71,35239.03,9580.04,7408.06,32835.10,16903.65,3175.81,-6633.18,-18616.13,15834.11,385868.05
M & M Fin. Serv.,532720,M&MFIN,INE774D01024,Finance,Non Banking Financial Company (NBFC),317.70,8.72,2953.12,1.96,4.82,12.26,20.54,128370.44,7.81,12.42,2.76,1.44,2.10,-2.77,26638.64,1.44,-3.47,44.87,7177.90,5.68,1.13,-3.46,47.09,36.51,5.68,2.76,21005.37,62.50,0.00,21005.37,13127.49,18.05,13278.49,386.08,12892.41,8933.56,3825.90,-132.95,277.91,0.00,26360.73,96983.87,22109.37,158643.94,9158.05,3315.53,13127.49,8933.56,386.08,12892.41,2861.11,-12772.18,-13120.42,769.52,10637.20,44174.39
M B Agro Prod.,,MBAPL,INE900L01010,Fertilizers & Agrochemicals,Fertilizers,519.95,19.40,150.18,11.43,1.56,31.50,17.14,855.91,3.83,22.14,1.44,6.38,2.44,-27.71,549.70,6.38,-0.19,5.70,991.29,2.39,6.50,-35.77,76.24,2.92,2.39,0.87,1866.98,12.13,0.00,1866.98,226.52,16.85,243.37,36.94,206.43,32.37,174.06,0.00,87.63,0.00,462.07,317.83,0.53,1682.43,910.71,633.38,226.52,32.37,36.94,206.43,150.18,-127.38,-524.20,-373.45,500.82,4556.16
M T N L,500108,MTNL,INE153A01019,Telecom - Services,Telecom - Cellular & Fixed line services,31.72,-6.76,-3628.18,-31.75,,,-57.59,34064.17,-1.86,-409.66,0.33,-0.23,2.79,15.73,-28798.85,-0.23,-16.61,-10.24,-6259.06,-0.39,-5.27,5.89,-2.23,0.00,-0.39,0.33,716.35,-50.70,0.00,698.02,-470.03,682.32,206.10,612.15,-406.05,2928.45,-3328.31,6.19,630.00,0.00,-29428.85,2544.36,29897.04,9548.12,4823.48,14563.86,-363.19,2960.74,580.24,-668.06,-3628.18,339.84,304.07,-28.71,-215.44,2000.32
Mac Charles(I),507836,MCCHRLS-B,INE435D01014,Leisure Services,Hotels & Resorts,685.00,-1.47,-80.89,-10.17,16.21,-80.50,-104.91,1053.96,2.36,31.24,1.25,0.36,11.16,-4.40,65.02,0.36,-1.18,-9.96,968.41,10.73,1.50,-7.92,-129.86,0.00,10.73,0.55,80.20,57.22,0.00,9.83,-28.46,20.75,-13.73,2.16,-15.89,95.90,-105.77,6.02,13.10,0.00,51.92,1051.46,0.00,1195.54,172.87,138.64,45.89,126.00,15.81,45.12,-137.45,-112.92,-342.75,40.02,77.65,894.76
Machino Plastics,523248,,INE082B01018,Auto Components,Auto Components & Equipments,253.00,11.84,4.58,3.11,3.33,14.50,7.46,220.01,5.26,11.64,0.81,1.34,0.34,-7.50,65.99,1.34,-1.07,25.70,194.04,4.34,2.03,5.92,-105.67,0.00,4.34,0.57,455.90,7.04,0.00,388.74,32.81,0.11,32.92,10.07,22.85,11.65,11.20,0.00,6.14,0.00,59.85,141.02,38.51,401.81,163.77,202.44,32.10,14.71,12.49,19.72,4.58,26.26,-78.36,-105.87,79.79,155.34
Madras Fertilize,590134,MADRASFERT,INE414A01015,Fertilizers & Agrochemicals,Fertilizers,68.95,10.78,7.09,3.03,23.64,,0.44,584.16,7.05,12.05,0.52,1.26,0.52,3.61,23.67,1.26,1.19,9.09,-697.90,-65.66,1.50,9.59,442.17,0.00,-65.66,0.44,2155.90,0.60,0.00,2541.85,126.95,43.94,170.91,11.62,159.29,67.67,91.60,-0.02,161.10,0.00,-137.43,109.92,1484.39,2076.57,1004.08,1925.47,12.95,60.03,13.49,75.47,7.09,116.22,102.99,26.02,-52.07,1114.26
Magnum Ventures,532896,MAGNUM,INE387I01016,"Paper, Forest & Jute Products",Paper & Paper Products,22.17,3.68,-10.41,0.89,0.39,1.48,-1.70,267.00,5.40,5.80,2.46,0.57,0.34,15.93,678.42,0.57,-0.85,28.11,1099.65,1.64,1.57,3.87,595.19,0.00,1.64,1.74,455.14,14.77,0.00,395.75,77.13,0.82,78.63,45.80,32.83,32.26,-0.11,-0.68,66.41,3.14,612.01,149.09,55.91,1198.73,229.31,93.40,67.22,37.00,47.34,21.25,-11.31,39.96,-31.00,-70.47,-0.11,154.75
Magson Retail,,MAGSON,INE0O1S01012,Food Products,Packaged Foods,183.00,3.24,0.29,1.50,0.15,2.19,0.34,9.15,0.51,85.61,1.21,2.83,3.08,-43.29,61.08,2.83,-0.04,20.80,44.56,1.45,5.11,-22.11,2050.45,0.00,1.45,0.51,73.17,-0.44,-13.90,67.37,0.38,1.50,2.02,1.03,0.99,0.24,0.61,-0.14,7.85,0.00,53.23,0.00,11.07,103.91,36.14,29.86,-0.32,0.40,1.48,1.13,0.29,-10.20,-14.56,-4.42,9.74,225.55
Mah. Scooters,500266,MAHSCOOTER,INE288A01013,Finance,Investment Company,12472.80,1.06,310.56,0.95,0.00,1.06,271.74,0.00,2.17,46.12,2.40,,45.59,61.16,27634.79,,2.20,0.00,18.56,1.18,2.04,53.39,3555.80,80.97,1.18,2.40,312.76,98.65,0.00,312.76,308.53,0.48,309.01,0.02,308.99,0.00,308.99,0.00,11.43,0.00,27623.36,0.00,0.00,30791.00,31.83,13.27,308.53,0.00,0.02,308.99,310.56,267.05,267.19,-18.97,-249.99,14258.77
Mahindra Holiday,533088,MHRIL,INE998I01010,Leisure Services,Hotels & Resorts,255.00,9.73,94.84,1.26,4.75,19.60,5.00,3480.88,4.22,11.34,1.33,2.08,1.75,15.00,732.15,2.08,-0.14,27.64,6553.10,12.85,1.31,8.30,-1302.85,0.00,12.85,1.02,2950.27,21.10,0.00,2780.85,586.90,128.62,715.86,366.00,349.86,156.98,192.54,-0.34,201.66,0.00,530.49,22.03,3108.47,10983.50,3294.13,2475.93,622.54,172.48,392.53,359.28,98.45,621.46,295.26,-402.33,-284.93,5159.28
Mahindra Life.,532313,MAHLIFE,INE813A01018,Realty,"Residential, Commercial Projects",325.05,2.20,271.37,0.73,0.10,2.19,13.74,325.42,4.19,21.92,1.52,30.15,13.39,-14.91,3423.32,30.15,0.01,5.30,2092.49,3.00,2.69,-12.79,79.58,70.85,3.00,0.22,517.93,-25.66,0.00,372.27,-169.78,277.47,84.64,17.81,66.83,19.38,70.50,23.05,213.31,0.00,3210.01,917.66,521.80,7377.67,5981.67,3931.40,-132.88,9.69,23.77,292.20,293.14,-542.09,-556.13,272.69,416.18,6935.79
Manaksia Alumi.,539045,MANAKALUCO,INE859Q01017,Non - Ferrous Metals,Aluminium,35.36,10.53,6.32,1.31,1.94,4.56,0.96,267.05,7.63,10.45,1.11,1.29,0.42,-16.09,138.00,1.29,-1.02,44.14,189.92,3.41,2.39,237.70,139.74,7.58,3.41,0.43,545.32,8.32,0.00,509.15,42.91,1.02,43.93,8.33,35.60,27.53,8.07,0.00,6.55,0.00,131.45,187.66,51.37,533.66,379.53,340.58,45.35,28.49,9.50,36.83,6.32,0.97,-30.69,-33.25,39.12,230.57
Manaksia Steels,539044,MANAKSTEEL,INE824Q01011,Ferrous Metals,Iron & Steel,72.56,4.06,23.79,2.07,0.63,3.67,3.63,202.91,6.46,12.94,1.52,3.43,0.51,-11.87,319.63,3.43,0.04,17.34,276.85,1.78,4.23,35.90,52.00,0.00,1.78,0.90,933.24,4.65,0.00,584.18,12.05,13.64,25.22,4.85,20.37,8.20,12.64,0.47,6.55,0.00,313.08,203.65,1.89,574.30,371.09,243.82,43.35,12.36,7.94,42.43,23.79,13.18,-53.32,-19.08,11.85,473.19
Manali Petrochem,500268,MANALIPETC,INE201A01024,Chemicals & Petrochemicals,Petrochemicals,54.51,4.66,67.30,2.32,0.14,2.92,6.50,155.25,13.01,5.75,3.39,7.54,0.98,-124.62,1141.58,7.54,0.68,5.30,1216.10,1.24,3.39,-49.37,44.71,29.35,1.24,2.58,960.09,8.14,0.00,897.12,58.47,21.12,82.77,27.09,55.68,10.45,42.05,-3.18,86.03,0.00,1055.55,45.42,83.72,1471.59,735.14,217.02,78.16,12.66,31.43,95.41,111.73,-18.99,-119.68,-154.76,-0.23,937.58
Manappuram Fin.,531213,MANAPPURAM,INE522D01027,Finance,Non Banking Financial Company (NBFC),289.00,11.03,408.14,2.51,3.02,10.14,4.82,38366.43,6.65,14.01,6.64,1.13,2.65,-9.76,12712.40,1.13,-1.57,31.87,3944.76,3.86,1.60,-52.44,101.49,27.84,3.86,6.64,9215.57,46.58,-3.48,10007.00,5440.06,33.88,5472.96,267.37,5205.59,3540.93,1665.64,0.98,169.29,0.00,12543.11,34458.08,1618.90,51657.20,3313.60,499.12,4292.86,3537.69,297.42,4008.17,385.15,-466.57,-662.39,-124.80,1132.34,24466.19
Manba Finance,544262,MANBA,INE939X01013,Finance,Non Banking Financial Company (NBFC),108.58,13.07,42.25,3.10,3.78,13.27,8.41,1470.31,11.97,8.15,15.41,1.40,1.82,-2.75,388.83,1.40,-2.66,38.90,404.49,3.31,1.50,-1.70,42.01,9.97,3.31,15.41,302.38,65.11,0.00,250.45,162.54,-0.01,162.54,4.59,157.95,107.84,50.10,-0.01,50.24,0.00,338.59,1079.34,4.52,1887.44,414.66,26.91,196.87,138.32,4.77,194.07,42.25,-323.56,-325.90,-14.65,453.13,549.44
Mangal Credit,505850,MANCREDIT,INE545L01039,Finance,Non Banking Financial Company (NBFC),173.85,12.17,12.65,4.27,1.75,9.93,6.10,276.02,8.02,12.19,7.67,1.64,5.94,-7.29,158.01,1.64,-0.92,21.12,85.19,2.21,2.45,-7.46,96.13,11.22,2.21,7.67,61.97,74.87,0.00,49.58,38.16,-0.33,38.16,1.24,36.92,18.39,18.20,-0.33,21.11,0.00,136.90,168.01,32.48,450.10,78.72,10.26,46.40,27.29,1.59,44.87,12.43,-49.36,-50.17,-5.13,60.02,368.17
Manilam Industries,,MANILAM,INE1ERK01013,Consumer Durables,Plywood Boards/ Laminates,54.50,17.42,7.36,4.77,1.84,24.40,32.09,62.45,9.42,9.19,1.18,2.57,0.85,90.24,33.86,2.57,,8.46,48.62,4.56,2.88,7.22,37.68,0.00,4.56,0.74,140.03,12.58,,140.03,17.62,2.14,19.74,2.65,17.09,6.66,10.45,0.02,2.30,0.00,31.56,49.58,12.87,158.98,128.73,109.48,17.62,6.66,2.65,17.09,7.38,16.50,17.30,0.81,-17.34,119.07
Manomay Tex Indi,540396,MANOMAY,INE784W01015,Textiles & Apparels,Other Textile Products,234.10,12.74,17.98,3.20,2.34,13.89,9.96,370.17,6.82,9.64,1.41,1.81,0.61,-7.83,158.02,1.81,-0.85,19.23,326.63,4.06,2.94,101.61,91.08,0.00,4.06,0.69,685.87,11.77,0.00,696.92,85.58,1.49,87.07,29.40,57.67,31.80,25.87,0.00,18.05,0.00,139.97,292.25,36.25,648.62,422.55,300.46,80.71,29.76,28.11,53.85,17.98,4.15,-16.99,-3.20,-1.78,421.68
Maple Inf. Trust,543925,,INE0M5S23019,Transport Infrastructure,"Road AssetsToll, Annuity, Hybrid-Annuity",145.60,3.87,-103.82,-1.50,1.59,-3.90,-2.62,4633.99,2.84,19.18,2.70,0.81,8.67,-3.99,2920.06,0.81,-0.31,-38.43,7466.66,2.65,2.99,18.99,-219.07,0.00,2.65,2.70,1156.28,63.93,0.00,788.09,520.86,56.60,577.46,274.09,303.37,413.96,-110.59,0.00,3517.87,0.00,-597.81,4691.03,0.76,7775.54,813.91,301.57,739.20,500.05,337.69,404.66,-103.82,527.72,518.62,-41.57,-508.97,10022.49
Maral Overseas,521018,MARALOVER,INE882A01013,Textiles & Apparels,Other Textile Products,45.50,1.89,-9.72,-3.26,3.50,-20.17,-2.48,392.72,4.75,9.41,0.88,0.73,0.19,-5.83,92.27,0.73,-1.34,-16.23,277.67,6.84,2.14,2.44,31.54,0.00,6.84,0.55,997.35,4.06,0.00,1047.03,22.82,22.40,45.17,34.17,11.00,36.68,-25.63,0.05,41.51,0.00,50.76,370.71,78.44,682.36,322.81,366.25,40.51,37.40,33.49,27.36,-10.28,75.87,43.64,-28.32,-47.92,184.84
Marble City,531281,,INE807H01023,Other Construction Materials,Other Construction Materials,95.82,,10.02,,1.62,3.95,4.29,117.42,8.43,10.21,2.90,1.91,2.77,,72.66,1.91,,49.34,145.01,,3.86,,249.47,0.00,,1.54,88.15,34.57,2.22,59.00,12.90,5.88,18.78,3.25,15.53,12.37,3.16,0.00,11.81,0.00,60.85,,,214.18,189.50,65.25,30.47,15.34,4.74,29.29,10.99,,,,,244.48
MAS FINANC SER,540749,MASFIN,INE348L01012,Finance,Non Banking Financial Company (NBFC),321.75,11.32,353.98,2.89,3.53,14.14,19.32,9910.09,9.63,10.33,5.31,1.55,3.09,-4.39,2810.96,1.55,-1.87,31.56,1739.18,4.17,1.64,-5.15,61.10,9.94,4.17,5.31,1891.10,71.83,0.02,1597.23,1193.94,2.92,1196.86,5.60,1191.26,770.25,421.01,0.00,181.45,0.13,2629.51,8906.24,249.48,13140.08,1971.70,371.58,1358.33,873.68,6.76,1356.44,354.75,-1133.48,-1163.02,-828.19,2197.65,5842.83
Mauria Udyog,539219,,INE150D01027,Industrial Products,Other Industrial Products,9.38,14.25,24.20,2.47,2.71,34.02,1.97,133.95,19.36,4.74,0.83,5.58,0.28,2.02,49.43,5.58,,7.36,67.81,13.46,2.01,1.25,27.46,0.00,13.46,0.51,450.52,8.92,0.00,408.71,25.45,21.14,32.05,3.24,28.81,8.03,35.32,14.54,13.32,0.00,36.11,68.82,122.54,408.03,190.64,230.85,40.17,8.16,4.06,45.57,26.18,99.86,65.68,-31.14,-68.54,124.94
Max Estates,544008,MAXESTATES,INE03EI01018,Realty,"Residential, Commercial Projects",401.95,2.54,34.85,0.39,0.91,2.01,2.16,2098.46,1.48,52.76,1.67,1.77,34.60,-13.32,2301.14,1.77,,79.40,5393.34,2.27,1.71,29.19,-5427.59,0.00,2.27,0.53,189.79,18.96,0.36,160.49,44.40,89.19,119.96,34.10,85.86,61.87,37.62,13.63,162.23,0.00,2138.91,1239.18,416.99,10162.99,6387.45,3820.62,35.99,65.78,33.23,116.48,33.75,225.01,-451.92,-1993.08,1766.36,6567.38
Max India Ltd,543223,MAXIND,INE0CG601016,Finance,Holding Company,154.05,-23.63,-153.08,-19.41,0.44,-30.05,-28.48,203.75,-18.79,-6.24,2.03,-9.97,4.89,-10.65,467.32,-9.97,-0.06,-1.45,474.74,1.84,2.39,-6.38,-20.30,0.00,1.84,1.94,166.45,-81.39,-0.07,162.60,-101.29,-10.41,-98.96,18.82,-117.78,8.06,-138.58,-12.74,52.45,0.00,414.87,1.43,100.87,837.87,545.58,268.87,-135.47,13.86,23.05,-138.18,-148.65,-127.60,-163.01,46.82,-12.55,813.53
MBL Infrast,533152,MBLINFRA,INE912H01013,Construction,Civil Construction,26.00,5.67,-78.27,-3.70,0.98,-12.85,-4.80,956.46,-0.56,27.98,0.34,-0.10,2.17,7.73,973.62,-0.10,-2.06,5.64,91.33,3.10,0.51,8.59,-42.53,0.00,3.10,0.34,183.88,-14.45,0.31,128.32,45.06,398.46,165.10,60.52,104.58,214.17,168.83,278.42,152.53,0.00,821.09,952.98,1.98,3003.06,267.11,782.66,-26.57,71.68,54.58,-7.34,-61.63,46.42,43.57,-8.33,-44.20,398.96
Mcleod Russel,532654,MCLEODRUSS,INE942G01012,Agricultural Food & other Products,Tea & Coffee,54.98,-1.85,-225.24,-6.09,30.10,-141.63,-21.56,1910.54,-2.77,-329.87,0.13,-0.34,0.48,7.62,63.47,-0.34,-2.54,-9.66,-1738.77,62.94,-0.44,7.95,-15.82,0.00,62.94,0.05,1189.51,-0.98,0.00,1185.41,20.95,21.77,23.40,61.24,-37.84,226.05,-244.57,19.32,52.23,0.00,11.24,1217.07,684.53,3756.14,442.31,3472.55,-11.71,203.76,60.81,-68.28,-225.24,72.43,49.92,-18.79,-50.45,575.84
Media Matrix,512267,MMWL,INE200D01020,Entertainment,"Film Production, Distribution & Exhibition",10.25,9.78,5.85,2.67,1.61,6.75,0.05,107.74,1.93,50.35,1.47,1.69,0.92,212.90,67.10,1.69,-0.18,13.47,69.27,4.47,14.11,80.48,820.26,0.00,4.47,0.93,1256.95,1.63,0.09,1256.95,20.53,4.52,25.05,0.68,24.37,14.38,9.99,0.00,113.27,0.00,-46.17,98.07,69.23,238.24,207.11,140.67,20.53,14.38,0.68,24.37,8.00,14.37,14.52,47.52,-71.69,1156.56
Meesho,544632,MEESHO,INE0VDM01015,Retailing,E-Retail/ E-Commerce,179.59,-8.71,-4851.17,-85.20,0.04,-264.00,-452.68,58.27,-0.20,-620.55,0.32,-24.03,8.74,-153.95,1842.99,-24.03,,-0.01,-3817.27,3.94,19.11,152.23,-168.58,0.00,3.94,0.32,9389.90,-6.16,-0.19,9389.90,-578.49,-835.45,-131.80,34.03,-165.83,6.90,-1454.87,-1282.14,397.74,0.00,1445.25,0.00,58.27,7226.09,1803.91,5716.96,-578.49,6.90,34.03,-165.83,-3941.71,539.37,516.47,-2637.96,2105.26,82108.85
Megastar Foods,541352,MEGASTAR,INE00EM01016,Food Products,Other Food Products,285.00,8.95,8.38,1.94,1.79,4.10,7.42,173.96,5.50,13.71,1.05,1.74,0.63,-8.52,97.22,1.74,-0.50,46.02,159.70,2.10,3.53,-33.30,104.46,0.00,2.10,0.32,506.33,6.94,0.00,350.12,21.81,0.25,22.06,5.36,16.70,11.47,5.23,0.00,11.29,0.00,85.93,121.67,10.00,355.27,198.54,189.39,35.12,15.30,8.88,26.58,8.38,-9.63,-59.86,-50.46,61.03,320.68
Meghmani Organi.,543331,MOL,INE0CT101020,Fertilizers & Agrochemicals,Pesticides & Agrochemicals,52.97,3.39,40.52,-0.40,0.55,-0.80,1.59,840.78,8.20,7.27,1.08,1.94,0.60,-13.76,1539.93,1.94,-0.18,-79.32,1731.90,2.02,2.22,20.35,-381.69,0.00,2.02,0.67,2253.08,9.86,-0.03,2079.75,144.25,42.36,187.96,108.13,79.83,69.01,9.47,-1.35,25.43,0.00,1514.50,768.05,61.15,3285.33,1548.30,1436.16,222.19,90.70,119.11,176.14,40.52,66.22,-19.90,30.97,-91.39,1347.36
Mercantile Vent.,538942,MERCANTILE,INE689O01013,Commercial Services & Supplies,Diversified Commercial Services,22.80,1.53,12.49,2.66,0.00,3.15,1.12,0.00,1.21,65.61,3.37,22.67,2.72,-55.58,323.38,22.67,0.96,0.00,144.30,1.19,2.62,-7.36,84.46,0.00,1.19,3.37,88.92,0.82,0.00,72.19,1.36,12.88,6.21,0.93,5.28,0.20,13.11,8.03,111.92,0.00,211.46,0.00,0.00,381.25,71.32,21.14,0.73,0.12,0.88,2.72,7.04,-32.81,-37.77,-18.28,0.24,241.55
Metroglobal,500159,METROGLOBL,INE085D01033,Commercial Services & Supplies,Trading & Distributors,127.80,3.72,27.06,2.86,0.01,3.05,8.20,3.83,22.75,4.27,19.18,13.45,0.65,8.75,407.91,13.45,1.25,0.41,224.30,1.06,3.28,11.16,32.58,26.10,1.06,18.62,242.47,7.25,0.00,239.70,15.79,-2.85,16.16,0.82,15.34,0.56,11.56,-3.22,12.33,0.00,395.58,2.70,0.87,423.08,188.19,9.81,17.59,2.51,0.87,33.76,9.83,14.04,22.85,-11.50,-0.54,156.72
MIC Electronics,532850,MICEL,INE287C01037,Industrial Products,Other Industrial Products,41.15,8.55,-12.63,-3.78,0.20,-5.76,-0.52,44.19,2.22,38.80,1.91,3.76,5.20,-42.78,216.22,3.76,-0.11,-3.50,163.07,1.55,6.48,,-54.03,0.00,1.55,1.69,190.52,13.25,-3.82,190.52,25.25,1.16,26.41,3.68,22.73,6.05,16.68,0.00,48.20,0.00,168.02,47.91,0.00,354.15,243.27,127.05,25.25,6.05,3.68,22.73,-12.63,0.00,0.00,0.00,0.00,991.53
Milkfood,507621,,INE588G01021,Food Products,Dairy Products,64.90,6.24,-5.51,1.18,0.76,2.52,-2.26,128.43,2.79,18.03,1.24,0.72,0.38,-413.10,168.95,0.72,-0.66,28.48,250.17,2.12,2.64,8.22,-20.13,67.57,2.12,1.04,419.02,1.99,0.00,447.76,23.62,1.88,25.36,7.10,18.26,10.83,7.57,0.14,12.19,0.00,156.76,65.59,52.56,364.94,124.88,100.66,8.35,11.14,7.88,7.99,-5.51,19.24,15.31,-3.95,-15.19,158.22
MIRC Electronics,500279,MIRCELECTR,INE831A01028,Consumer Durables,Consumer Electronics,33.00,5.35,-46.50,-0.42,0.31,-1.81,-0.82,48.66,-2.44,-51.48,1.47,-1.93,1.70,191.47,165.59,-1.93,0.01,-21.16,192.84,4.37,6.09,39.40,-114.82,0.00,4.37,0.75,716.92,-4.76,0.00,746.69,8.14,10.73,18.87,6.57,12.30,14.60,-2.30,0.00,36.96,0.00,128.63,80.38,21.35,483.53,374.28,254.34,-34.12,15.85,6.30,-30.65,-26.20,30.95,30.93,-7.75,-23.98,1219.36
Mirza Internatio,526642,MIRZAINT,INE771A01026,Consumer Durables,Leather And Leather Products,32.87,1.00,-7.10,-0.60,0.04,-0.78,0.60,22.78,0.21,14.50,2.47,0.11,0.83,-316.93,576.75,0.11,0.50,-6.90,602.56,1.29,3.10,16.12,-62.26,0.00,1.29,1.39,546.63,5.43,0.00,581.23,35.09,2.58,36.61,30.61,6.00,10.61,-3.55,1.06,27.64,0.00,549.11,47.77,0.00,750.16,334.20,135.55,29.68,9.09,31.12,1.00,8.25,28.24,-15.83,-28.87,1.26,455.12
Modern Malleable,517336,,INE834C01028,Industrial Products,Iron & Steel Products,45.21,0.81,21.36,0.95,0.01,1.19,1.83,1.65,5.23,18.58,1.94,37.36,4.26,98.94,176.16,37.36,0.30,0.15,37.65,1.21,6.09,-48.96,126.33,0.00,1.21,0.83,123.60,14.00,0.00,52.31,0.85,13.31,2.01,0.75,1.26,0.25,13.16,12.15,11.65,0.00,164.51,4.14,0.00,220.34,65.68,33.79,17.31,0.74,0.78,27.65,21.36,-10.76,-12.27,-10.78,-0.23,526.81
Modern Threads,500282,MODTHREAD,INE794W01014,Textiles & Apparels,Other Textile Products,46.56,2.90,11.65,0.86,0.18,1.41,,24.67,9.51,8.13,1.73,7.60,0.54,,135.44,7.60,0.19,7.32,129.63,1.61,3.70,-20.77,26.07,0.00,1.61,0.93,289.84,3.49,0.00,260.04,0.99,9.85,8.68,4.51,4.17,1.58,4.75,2.16,34.78,0.00,100.66,12.48,10.81,235.32,165.30,95.53,10.11,2.30,4.61,17.48,11.65,-7.53,-14.69,-18.30,19.80,156.43
Moneyboxx Fin.,538446,MONEYBOXX,INE296Q01012,Finance,Non Banking Financial Company (NBFC),69.63,8.65,-4.42,0.15,2.44,0.58,-0.68,638.91,7.48,11.84,0.23,0.97,2.20,-2.47,294.76,0.97,-1.75,511.13,-482.40,3.09,1.13,-2.15,1384.46,0.00,3.09,0.23,220.72,38.99,2.20,199.00,73.81,0.23,74.04,7.71,66.33,63.37,2.96,0.00,65.41,0.00,229.35,629.59,22.04,929.56,152.81,665.32,86.05,79.45,9.60,76.77,-4.42,-224.90,-234.26,-11.47,277.51,484.56
MSP Steel & Pow.,532650,MSPL,INE752G01015,Industrial Products,Iron & Steel Products,35.23,6.43,16.18,-1.79,0.31,-3.78,-1.50,281.37,4.20,15.08,1.08,1.76,0.72,19.10,912.61,1.76,0.12,-9.92,838.98,1.67,5.07,10.53,329.58,0.00,1.67,0.37,2786.71,5.20,2.48,2905.25,133.85,3.64,137.49,53.75,83.74,81.18,2.56,0.00,566.80,31.13,345.81,241.03,21.41,1503.26,623.19,577.03,144.89,53.55,54.61,93.99,-85.26,189.28,156.83,-33.83,-177.51,1993.96
Mufin Green,542774,MUFIN,INE08KJ01020,Finance,Non Banking Financial Company (NBFC),116.39,12.61,21.08,2.08,2.68,7.89,1.23,854.45,4.87,20.02,3.60,1.27,10.27,-8.90,319.44,1.27,-0.56,42.11,127.89,3.60,3.61,-14.12,286.85,0.00,3.60,3.60,195.89,69.20,-6.81,161.60,120.07,0.39,120.46,3.29,117.17,89.84,27.33,0.00,17.32,0.00,302.12,449.92,253.75,1230.74,168.63,46.81,135.55,105.31,2.70,133.29,21.08,-142.39,-143.18,90.27,56.40,2010.83
Mukand,500460,MUKANDLTD,INE304A01026,Ferrous Metals,Iron & Steel,140.50,9.91,60.07,2.21,1.89,7.84,4.16,1811.11,6.45,12.56,1.23,1.71,0.43,7.50,957.50,1.71,-0.88,23.86,1244.13,3.46,2.86,11.25,197.44,38.08,3.46,0.32,4727.63,5.37,0.00,4889.99,285.10,13.56,293.67,50.73,242.94,129.63,118.30,4.99,144.51,5.63,812.99,1425.70,127.96,3775.91,2926.44,2375.80,253.66,144.43,57.64,246.92,60.07,180.09,73.75,-123.74,-85.76,2025.78
